team,tournament,match,alliance,sandstorm_start_hatch,sandstorm_start_cargo,sandstorm_start_lvl_1,sandstorm_start_lvl_2,sandstorm_hab,sandstorm_rocket_cargo_1,sandstorm_rocket_cargo_2,sandstorm_rocket_cargo_3,sandstorm_total_rocket_cargo,sandstorm_rocket_hatch_1,sandstorm_rocket_hatch_2,sandstorm_rocket_hatch_3,sandstorm_total_rocket_hatch,sandstorm_cargoship_cargo,sandstorm_cargoship_hatch,teleop_rocket_cargo_1,teleop_rocket_cargo_2,teleop_rocket_cargo_3,teleop_total_rocket_cargo,teleop_rocket_hatch_1,teleop_rocket_hatch_2,teleop_rocket_hatch_3,teleop_total_rocket_hatch,teleop_cargoship_cargo,teleop_cargoship_hatch,teleop_climb_1,teleop_climb_2,teleop_climb_3,rating_cargo_accuracy,rating_hatch_accuracy,rating_speed,rating_defense,rating_stability,disabled,interfere,defense,comment_scout,comment_super,match_id,scout_id,Total Game Pieces,Hab Climb
2543,CAVE,5,b,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,6,0,FALSE,FALSE,TRUE,5,5,4,1,5,FALSE,FALSE,FALSE,did mainly cargo ship like our team,,5@CAVE:b[3512;2543;7323],1,7,12
3512,CAVE,5,b,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,1,4,2,5,3,FALSE,FALSE,TRUE,Thye played really good defense being close and irritating,,5@CAVE:b[3512;2543;7323],0,0,6
7323,CAVE,5,b,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,FALSE,FALSE,1,3,3,1,4,FALSE,FALSE,FALSE,Only got one hatch panel. Very slow,,5@CAVE:b[3512;2543;7323],2,1,3
5102,CAVE,5,r,TRUE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,1,2,3,1,3,FALSE,FALSE,FALSE,Slow jerky drivingFailed to place every hatch it attempted to placedid not Attempt to climb Sometimes confused,,5@CAVE:r[6560;7324;5102],2,0,3
6560,CAVE,5,r,TRUE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,FALSE,FALSE,TRUE,4,4,3,1,4,FALSE,FALSE,FALSE,Didn't finish climbing flow climbing massive robot been heavily defended hard to top over but arm long and soft can't get rid of the blockade,,5@CAVE:r[6560;7324;5102],0,4,12
7324,CAVE,5,r,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,1,1,1,1,1,TRUE,FALSE,FALSE,Didn't do anything ;disabled entire match,,5@CAVE:r[6560;7324;5102],1,0,3
114,CAVE,6,b,TRUE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1,1,0,2,3,0,FALSE,FALSE,FALSE,5,4,2,1,3,FALSE,FALSE,FALSE,Very consistent cargo scorer,,6@CAVE:b[114;6934;7326],0,7,0
6934,CAVE,6,b,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,2,1,1,2,4,FALSE,FALSE,TRUE,shitty defense; were not annoying/effective,,6@CAVE:b[114;6934;7326],1,0,3
7326,CAVE,6,b,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,1,1,3,1,2,FALSE,TRUE,FALSE,Robot fell apart at beginning of round. Did nothing. Made of wood and held together by tape,,6@CAVE:b[114;6934;7326],2,0,3
5107,CAVE,6,r,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,TRUE,FALSE,FALSE,1,3,3,1,4,FALSE,FALSE,FALSE,Crossed cargo line during sandstormUnpredictable intake and outtakeDriving is a little jerky Slow cycle times,,6@CAVE:r[5137;6764;5107],2,2,3
5137,CAVE,6,r,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,3,1,FALSE,TRUE,FALSE,4,4,3,1,4,FALSE,FALSE,FALSE,Only level one capable not defended no miss box like robot no ground intake of any kind,,6@CAVE:r[5137;6764;5107],0,5,6
6764,CAVE,6,r,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,1,1,1,1,TRUE,FALSE,FALSE,Didn't do anything; loitered around and driving aimlessly.attempted third level climb but failed,,6@CAVE:r[5137;6764;5107],1,0,0
1138,CAVE,7,b,TRUE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,FALSE,FALSE,TRUE,4,3,3,1,3,FALSE,FALSE,FALSE,Mostly a cargo bot and they played no defense,,7@CAVE:b[1138;5857;5477],0,3,12
5477,CAVE,7,b,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,4,1,2,1,3,FALSE,FALSE,FALSE,Did a weird wheel thing.,,7@CAVE:b[1138;5857;5477],2,1,0
5857,CAVE,7,b,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,1,1,1,2,3,FALSE,FALSE,TRUE,bullshit defense; went to the other side and did nothing,,7@CAVE:b[1138;5857;5477],1,0,3
3925,CAVE,7,r,TRUE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,FALSE,FALSE,FALSE,1,4,4,1,3,TRUE,FALSE,FALSE,Bumped into the loading station and battery fell out only hatch ground and cargo two levels had to pop hatch to found to intake,,7@CAVE:r[3925;599;5818],0,1,0
5818,CAVE,7,r,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,FALSE,FALSE,FALSE,5,4,4,1,4,FALSE,FALSE,FALSE,Interesting intakeFast cycle timesAttempted and failed level three climbFast and precise driving,,7@CAVE:r[3925;599;5818],2,5,0
599,CAVE,7,r,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,FALSE,TRUE,FALSE,3,2,2,1,2,FALSE,FALSE,FALSE,Really good sandstorm; pretty bad teleop,,7@CAVE:r[3925;599;5818],1,3,6
3512,CAVE,8,b,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,1,1,1,1,1,TRUE,FALSE,FALSE,Didn't do anything; couldn't move for the whole match; and at the end they climbed,,8@CAVE:b[7324;580;3512],2,0,3
580,CAVE,8,b,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,TRUE,FALSE,FALSE,1,3,2,1,2,TRUE,FALSE,FALSE,the robot was disabled for most of the match; but placed 2 hatch panels during teleop with their Velcro mechanism.,,8@CAVE:b[7324;580;3512],1,2,3
7324,CAVE,8,b,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,1,1,1,2,1,FALSE,TRUE,TRUE,,,8@CAVE:b[7324;580;3512],0,0,3
294,CAVE,8,r,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,FALSE,FALSE,TRUE,5,4,4,1,5,FALSE,FALSE,FALSE,,,8@CAVE:r[294;3303;5869],0,5,12
3303,CAVE,8,r,TRUE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE,1,1,1,1,1,TRUE,FALSE,FALSE,,,8@CAVE:r[294;3303;5869],1,1,0
5869,CAVE,8,r,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,1,1,1,1,1,TRUE,FALSE,FALSE,They were disabled for most of the match but when they were moving they did nothing,,8@CAVE:r[294;3303;5869],2,0,3
4711,CAVE,9,b,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,1,3,2,1,FALSE,FALSE,TRUE,while playing defense their pins were mostly unsuccessful and they basically drove around other robots on the red alliance in an effort to play defense.,,9@CAVE:b[7327;4711;7326],1,0,0
7326,CAVE,9,b,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,1,1,1,1,TRUE,FALSE,FALSE,Literally didn't move from first level the full match,,9@CAVE:b[7327;4711;7326],2,0,0
7327,CAVE,9,b,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,1,2,3,3,2,TRUE,FALSE,FALSE,it got one cargo then got disabled,,9@CAVE:b[7327;4711;7326],0,1,0
5137,CAVE,9,r,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,TRUE,FALSE,FALSE,5,4,2,1,4,FALSE,FALSE,FALSE,,,9@CAVE:r[5137;5510;7323],0,4,3
5510,CAVE,9,r,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,TRUE,FALSE,FALSE,1,3,3,1,4,FALSE,FALSE,FALSE,Slow cycle; can only do level 1 hatch; not sure about cargo,,9@CAVE:r[5137;5510;7323],1,2,3
7323,CAVE,9,r,TRUE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,FALSE,FALSE,1,2,2,1,4,FALSE,FALSE,FALSE,really inconsistent with their hatch placement and intake of the hatches too,,9@CAVE:r[5137;5510;7323],2,1,3
4470,CAVE,10,b,FALSE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,TRUE,FALSE,FALSE,4,3,3,1,2,FALSE,FALSE,FALSE,,,10@CAVE:b[4470;5678;5857],0,2,3
5678,CAVE,10,b,TRUE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,1,1,1,1,TRUE,FALSE,FALSE,,,10@CAVE:b[4470;5678;5857],1,0,0
5857,CAVE,10,b,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,1,1,1,1,FALSE,FALSE,FALSE,Didn't show up; just like Jatin on all his dates,,10@CAVE:b[4470;5678;5857],2,0,0
3328,CAVE,10,r,TRUE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,FALSE,FALSE,FALSE,1,2,3,1,4,FALSE,FALSE,FALSE,Their cargo intake can't pick up the cargo.Their hatch intake and outtake is really inconsistent,,10@CAVE:r[4486;5700;3328],2,1,0
4486,CAVE,10,r,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,3,3,1,FALSE,TRUE,FALSE,5,4,3,1,3,FALSE,FALSE,FALSE,,,10@CAVE:r[4486;5700;3328],0,7,6
5700,CAVE,10,r,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,FALSE,FALSE,FALSE,3,1,4,1,3,FALSE,FALSE,FALSE,Attempted level 2 climb; failedCargo seems to bounce out a lot,,10@CAVE:r[4486;5700;3328],1,2,0
3473,CAVE,11,b,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4,0,FALSE,TRUE,FALSE,5,2,4,1,4,FALSE,FALSE,FALSE,the cargo placement was very efficient and accurate; and the robot moved smoothly to avoid the red alliance robots playing defense.,,11@CAVE:b[7887;3473;4201],1,6,6
4201,CAVE,11,b,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,3,1,1,TRUE,FALSE,FALSE,3,5,4,1,4,FALSE,FALSE,FALSE,The driver was excellent. They had a little defense on them but still did a good amount of the rocket.,,11@CAVE:b[7887;3473;4201],2,5,3
7887,CAVE,11,b,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,1,1,4,4,5,FALSE,FALSE,TRUE,it always got in the way of the other alliances robots; which is good,,11@CAVE:b[7887;3473;4201],0,0,3
114,CAVE,11,r,TRUE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,TRUE,FALSE,FALSE,1,3,3,1,4,FALSE,FALSE,FALSE,Had to restart their bot in the middle,,11@CAVE:r[5818;5107;114],2,2,3
5107,CAVE,11,r,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,1,1,3,3,3,FALSE,FALSE,TRUE,Defense bot; but can probably do hatch Unstable and slow; seems heavy,,11@CAVE:r[5818;5107;114],1,0,3
5818,CAVE,11,r,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,2,0,0,2,0,0,1,0,0,1,1,0,0,1,4,1,TRUE,FALSE,FALSE,5,4,5,1,4,FALSE,FALSE,FALSE,Can do third level climb; but feet were still touching ground. Cargo placement is very accurate.,,11@CAVE:r[5818;5107;114],0,7,3
5136,CAVE,12,r,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,1,2,3,3,2,FALSE,FALSE,TRUE,They were bad at defense; not pinning and not successfully interfering with other robots.,,12@CAVE:r[5477;7650;5136],2,0,6
5477,CAVE,12,r,FALSE,TRUE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,TRUE,FALSE,FALSE,3,1,2,1,4,FALSE,FALSE,FALSE,,,12@CAVE:r[5477;7650;5136],0,3,3
7650,CAVE,12,r,TRUE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,TRUE,FALSE,FALSE,3,3,4,1,1,FALSE,FALSE,FALSE,Cargo sometimes rolls out when trying to place; or bounces out,,12@CAVE:r[5477;7650;5136],1,3,3
2486,CAVE,13,b,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,FALSE,FALSE,TRUE,4,1,4,1,1,FALSE,FALSE,FALSE,,,13@CAVE:b[3863;2486;6934],1,4,12
3863,CAVE,13,b,TRUE,FALSE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,1,1,1,1,FALSE,FALSE,FALSE,dropped hatch in sandstorm. cant intake cargo; went to hab st 51 seconds left and did nothing,,13@CAVE:b[3863;2486;6934],0,0,0
6934,CAVE,13,b,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,1,1,3,4,2,FALSE,TRUE,TRUE,It played good defense; but sometimes got in the way of robots on the same alliance,,13@CAVE:b[3863;2486;6934],2,0,3
1138,CAVE,13,r,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,FALSE,FALSE,TRUE,4,4,4,1,4,FALSE,FALSE,FALSE,Incurred G9; probably accident,,13@CAVE:r[3925;1138;6553],1,3,12
3925,CAVE,13,r,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,1,1,4,5,3,FALSE,FALSE,TRUE,Good defense; no fouls. Almost tipped over a couple of times.,,13@CAVE:r[3925;1138;6553],0,0,3
6553,CAVE,13,r,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,1,2,1,3,FALSE,FALSE,FALSE,Their intakes didn't work,,13@CAVE:r[3925;1138;6553],2,0,0
5199,CAVE,14,b,TRUE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,3,3,0,FALSE,FALSE,TRUE,4,4,4,1,3,FALSE,FALSE,FALSE,It avoided defense well,,14@CAVE:b[6764;599;5199],2,6,12
599,CAVE,14,b,TRUE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,0,2,3,0,FALSE,TRUE,FALSE,4,4,4,1,1,FALSE,FALSE,FALSE,,,14@CAVE:b[6764;599;5199],1,7,6
6764,CAVE,14,b,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,1,1,1,2,1,FALSE,FALSE,TRUE,driver is bad; it is shaky and rigid; couldn't climb at all,,14@CAVE:b[6764;599;5199],0,0,0
